StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,Female,Caucasian,Some College,19.83372281,7,Yes,Moderate,No,No,Yes,No,2.929195592,C
1002,18,Male,Caucasian,High School,15.40875606,0,No,Low,No,No,No,No,3.042914833,B
1003,15,Male,Aisan,Bachelor's,4.210569769,26,No,Moderate,No,No,No,No,0.112602254,F
1004,17,Female,Caucasian,Bachelor's,10.02882947,14,No,High,Yes,No,No,No,2.05421814,D
1005,17,Female,Caucasian,Some College,4.672495273,17,Yes,High,No,No,No,No,1.288061182,F
1006,18,Male,Caucasian,High School,8.191218545,0,No,Low,Yes,No,No,No,3.084183614,B
1007,15,Male,African American,High School,15.60168047,10,No,High,No,Yes,No,No,2.748237415,C
1008,15,Female,African American,Master's,15.42449631,22,Yes,Low,Yes,No,No,No,1.360142712,F
1009,17,Male,Caucasian,No Education,4.562007558,1,No,Moderate,No,Yes,No,Yes,2.89681919,C
1010,16,Female,Caucasian,High School,18.44446636,0,No,High,Yes,No,No,No,3.57347421,A
1011,17,Male,Caucasian,High School,11.85136366,11,No,Low,No,No,No,No,2.147171625,D
1012,17,Male,Caucasian,High School,7.598485819,15,No,Moderate,No,No,No,Yes,1.559594519,F
1013,17,Male,African American,High School,10.03871162,21,No,High,Yes,No,No,No,1.520077815,F
1014,17,Male,African American,Some College,12.10142507,21,No,Very High,No,Yes,No,No,1.751580958,F
1015,18,Female,Caucasian,High School,11.19781064,9,Yes,Moderate,No,No,No,No,2.396788117,D
1016,15,Male,Caucasian,Some College,9.728100711,17,Yes,No Support,No,Yes,No,No,1.341520717,F
1017,18,Male,Other,High School,10.09865608,14,No,Moderate,Yes,Yes,No,No,2.232175278,D
1018,18,Female,Caucasian,No Education,3.528238209,16,Yes,Moderate,No,No,No,No,1.384404176,F
1019,18,Male,African American,Bachelor's,16.25465809,29,No,Moderate,Yes,No,No,Yes,0.469553323,F
1020,17,Male,Caucasian,High School,10.8352064,9,No,Moderate,No,No,Yes,No,2.395784095,D
1021,16,Female,Caucasian,Bachelor's,2.621597234,2,No,High,No,No,No,Yes,2.7784113,C
1022,15,Male,Caucasian,Some College,15.32314203,25,No,Low,Yes,No,No,No,0.346894037,F
1023,16,Female,African American,No Education,18.64887957,29,Yes,Low,No,No,No,No,0.312546231,F
1024,18,Female,Other,Master's,18.94613798,20,No,Moderate,Yes,No,No,No,1.770131877,F
1025,18,Female,Caucasian,High School,7.380354648,15,No,Moderate,No,No,No,No,1.505155622,F
1026,16,Female,Caucasian,Bachelor's,2.710337471,5,No,Very High,No,No,Yes,No,2.977851918,C
1027,16,Male,Caucasian,High School,10.36799253,2,No,Moderate,No,Yes,No,No,2.948717672,C
1028,16,Female,Caucasian,Bachelor's,2.252184587,8,No,High,No,No,Yes,No,2.14520472,D
1029,18,Male,Caucasian,No Education,18.67974837,10,No,High,Yes,No,No,No,2.854803929,C
1030,18,Male,Caucasian,Some College,3.671592547,20,No,High,Yes,No,No,No,1.519441726,F
1031,15,Male,Aisan,Some College,5.055317199,12,Yes,No Support,No,Yes,No,No,1.72712031,F
1032,15,Male,Caucasian,Bachelor's,8.132730538,17,No,Very High,No,No,No,Yes,1.847535471,F
1033,18,Male,Caucasian,Bachelor's,7.663289371,25,No,Low,No,Yes,No,No,0.384616973,F
1034,16,Male,Other,Bachelor's,15.89325785,21,No,No Support,Yes,Yes,No,No,0.949406098,F
1035,16,Male,Caucasian,Bachelor's,9.126336411,27,Yes,Moderate,Yes,Yes,No,No,1.140959418,F
1036,15,Male,Other,High School,3.4153652,23,No,Low,No,No,No,No,0.26147226,F
1037,18,Male,Caucasian,High School,5.34419791,26,Yes,Low,No,No,No,No,0.218284857,F
1038,15,Male,Aisan,High School,10.1822677,21,Yes,Low,No,Yes,No,No,1.067763551,F
1039,15,Female,African American,High School,2.949078349,3,Yes,Low,Yes,Yes,No,No,3.018905858,B
